id,Date,Weight,Waist,Neck,Chest,Height,Hip
79,2025-01-12,70.3,81.3,36.8,,175,
80,2025-01-18,70.1,80.6,36.8,92.7,175,95.3
81,2025-01-25,69.6,80.6,36.8,,175,
82,2025-02-01,68.7,80.6,36.8,,175,
83,2025-02-08,68.6,80.6,36.8,,175,
84,2025-02-15,68.8,80.6,36.8,,175,
85,2025-02-22,68.4,80,36.8,,175,
86,2025-03-01,67.6,79.4,36.2,92.1,175,93.3
87,2025-03-08,67.5,78.7,36.2,,175,
88,2025-03-15,66.8,78.1,35.6,92.1,175,
89,2025-03-22,66.3,77.5,35.6,,175,
90,2025-03-29,64.6,76.8,35.6,,175,
91,2025-04-05,64.6,76.2,35.6,,175,
92,2025-04-12,65,76.2,35.6,,175,
93,2025-04-19,64.2,76.2,35.6,,175,
94,2025-04-26,64.1,76.2,35.6,91.4,175,88.9
95,2025-05-03,62.7,74.9,35.6,,175,
96,2025-05-10,63,74.3,35.6,89.5,175,88.9
97,2025-05-17,62.5,74.3,35.6,,175,
98,2025-05-24,62.4,74.3,35.6,88.9,175,87.6
99,2025-05-31,61.9,74.9,35.6,,175,
100,2025-06-07,61.2,73.7,35.6,88.3,175,88.3
101,2025-06-14,61.8,74.3,35.6,,175,
102,2025-06-21,62.4,74.9,35.6,,175,
103,2025-06-29,61.5,74.9,35.6,,175,
104,2025-07-05,62.4,74.9,35.6,,175,
105,2025-07-11,62.9,76.2,35.6,,175,
106,2025-07-19,64.7,76.8,35.6,,175,
107,2025-07-26,64.6,77.5,35.6,91.4,175,90.2
